Index,Semester,Type,Course,Pre-Post,SI1,SI2,SI3,SI4,SI5,Science_ID_AVE,CM1,CM2,CM3,CM4,CM5,Career_Mot_AVE,IM1,IM2,IM3,IM4,IM5,Intrinsic_Mot_AVE,SD1,SD2,SD3,SD4,SD5,SelfDetermition_AVE,SE1,SE2,SE3,SE4,SE5,SelfEfficacy_AVE,GM1,GM2,GM3,GM4,GM5,Grade_Mot_AVE,Overall_SCI_MOT,Sci_Comp1,Sci_Comp2,Sci_Comp3,Sci_Comp4,Sci_Competancy_Ave,Per_Comm_Orient1,Per_Comm_Orient2,Per_Comm_Orient3,Per_Comm_Orient4,Persol_Comm_Orient_AVE,Sci_Comm_Orient1,Sci_Comm_Orient2,Sci_Comm_Orient3,Sci_Comm_Orient4,Sci_Comm_Orient_AVE,Resilience1,Resilience2,Resilience3,Resilience4,Resilience_AVE,Major,Career,Gender,Ethnicity,ParentsGradCollege,Dependents,Med-Condition,Med-Condition_Dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Summer 2021,Major,BIOL1610,Pre,2,2,2,2,3,2.2,2,1,1,1,1,1.2,5,4,4,4,4,4.2,4,5,5,5,5,4.8,5,5,4,5,5,4.8,5,5,5,5,3,4.6,3.92,3,2,2,4,2.75,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4.75,10,5,6,10,Yes,4,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Fall 2021,Major,BIOL1610,Pre,4,4,4,4,4,4,1,1,2,1,1,1.2,1,2,1,2,2,1.6,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1.8,1.52,4,4,4,4,4,5,6,6,6,5.75,5,6,6,6,5.75,,,,,,10,5,1,9,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Fall 2021,Major,BIOL1610,Pre,2,1,1,2,1,1.4,1,1,1,1,1,1,4,3,4,2,2,3,4,4,3,3,3,3.4,3,4,3,4,4,3.6,5,5,5,5,3,4.6,3.12,1,4,4,3,3,5,5,3,5,4.5,3,3,4,3,3.25,,,,,,1,4,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Summer 2021,Major,BIOL1610,Pre,2,3,2,2,3,2.4,5,5,5,5,5,5,4,3,3,4,4,3.6,4,4,4,4,3,3.8,3,4,4,4,5,4,5,5,5,5,4,4.8,4.24,4,4,4,2,3.5,4,6,5,6,5.25,5,6,6,6,5.75,5,4,4,3,4,10,5,1,7,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Fall 2021,Major,BIOL1610,Pre,3,4,3,3,3,3.2,4,4,4,4,3,3.8,4,4,3,3,4,3.6,3,4,4,3,4,3.6,3,3,3,3,3,3,5,5,5,5,3,4.6,3.72,1,4,2,4,2.75,6,6,6,6,6,6,6,6,6,6,,,,,,10,5,6,7,Unsure,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Fall 2021,Non-Major,BIOL1010,Pre,3,3,3,2,2,2.6,4,5,4,4,2,3.8,4,4,3,4,4,3.8,3,4,3,3,4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,3.8,2,3,3,3,2.75,6,5,6,5,5.5,5,5,5,5,5,,,,,,6,12,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Fall 2021,Non-Major,BIOL1010,Pre,2,4,2,2,3,2.6,5,4,4,5,4,4.4,4,4,4,3,4,3.8,4,5,5,4,4,4.4,5,5,5,4,5,4.8,5,5,5,5,5,5,4.48,5,2,4,4,3.75,7,6,7,7,6.75,6,7,6,6,6.25,,,,,,8,7,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Fall 2021,Non-Major,BIOL1010,Pre,2,2,2,3,4,2.6,3,4,3,5,2,3.4,3,4,4,3,2,3.2,4,4,4,3,3,3.6,3,3,3,4,4,3.4,5,5,4,5,3,4.4,3.6,2,1,2,3,2,7,6,7,6,6.5,6,5,6,7,6,,,,,,11,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Spring 2022,Non-Major,BIOL1010,Pre,3,4,2,4,3,3.2,3,3,3,2,3,2.8,4,5,4,4,5,4.4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,3,4.4,4.12,3,4,3,4,3.5,5,5,5,5,5,6,6,6,6,6,,,,,,11,12,6,10,No,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Fall 2021,Major,BIOL1610,Pre,3,4,4,4,4,3.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,6,4,6,6,5.5,6,6,6,6,6,,,,,,10,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Spring 2022,Non-Major,BIOL1010,Pre,1,1,1,1,2,1.2,2,3,4,4,1,2.8,4,4,4,2,3,3.4,4,4,4,3,3,3.6,4,5,5,4,4,4.4,5,5,5,5,5,5,3.84,4,4,4,2,3.5,6,6,6,6,6,2,3,1,4,2.5,,,,,,11,12,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Spring 2022,Non-Major,BIOL1010,Pre,4,4,3,5,3,3.8,4,3,5,4,3,3.8,5,5,5,5,5,5,4,5,4,4,4,4.2,5,5,5,5,5,5,5,5,5,5,3,4.6,4.52,4,5,2,5,4,6,5,6,6,5.75,5,6,6,6,5.75,,,,,,3,3,1,6,Unsure,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Fall 2021,Major,BIOL1610,Pre,4,5,4,4,3,4,1,1,1,1,1,1,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,3,4.6,3.72,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,,,,,,10,5,6,10,Yes,4,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Fall 2021,Major,BIOL1610,Pre,4,4,3,4,4,3.8,2,2,2,1,2,1.8,2,2,1,1,2,1.6,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1.48,4,4,4,3,3.75,5,4,5,5,4.75,4,5,5,5,4.75,,,,,,10,5,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Fall 2021,Non-Major,BIOL1010,Pre,2,3,4,2,3,2.8,3,3,4,4,3,3.4,3,2,3,4,3,3,4,4,4,3,3,3.6,4,5,4,4,4,4.2,5,5,5,5,4,4.8,3.8,3,2,4,3,3,6,5,6,6,5.75,5,6,5,5,5.25,,,,,,11,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Fall 2021,Major,BIOL1610,Pre,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.8,3,4,4,4,4,3.8,5,5,5,5,5,5,4.72,4,4,4,4,4,5,6,5,5,5.25,5,5,5,5,5,,,,,,10,5,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Fall 2021,Major,BIOL1610,Pre,4,5,5,5,3,4.4,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4.6,5,5,5,5,3,4.6,4.04,5,4,5,5,4.75,5,6,6,6,5.75,6,6,6,6,6,,,,,,4,1,6,8,Yes,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Fall 2021,Major,BIOL1610,Pre,4,5,5,5,3,4.4,5,5,5,5,5,5,5,4,5,5,5,4.8,5,4,5,5,5,4.8,5,4,4,5,4,4.4,5,5,5,5,5,5,4.8,4,5,5,5,4.75,6,6,6,6,6,6,6,6,6,6,,,,,,4,1,6,8,Yes,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Fall 2021,Major,BIOL1610,Pre,4,4,3,3,3,3.4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4.6,4,4,4,5,5,4.4,5,5,5,5,4,4.8,4.76,2,4,3,5,3.5,5,5,5,5,5,6,5,5,5,5.25,,,,,,10,4,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Fall 2021,Major,BIOL1610,Pre,4,4,3,4,3,3.6,2,2,2,3,3,2.4,4,4,2,4,4,3.6,5,5,4,4,5,4.6,4,5,5,4,5,4.6,5,5,5,5,4,4.8,4,2,1,2,4,2.25,5,6,6,6,5.75,4,4,6,4,4.5,,,,,,3,4,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Summer 2021,Major,BIOL1610,Pre,2,2,1,2,2,1.8,4,5,5,5,4,4.6,3,4,4,4,4,3.8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.68,1,3,3,2,2.25,5,4,5,5,4.75,3,3,4,4,3.5,3,3,4,4,3.5,10,5,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Fall 2021,Major,BIOL1610,Pre,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3.2,3,3,3,3,3,3,3.04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,8,7,1,10,No,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Spring 2022,Non-Major,BIOL1010,Pre,3,4,2,2,3,2.8,4,4,5,5,5,4.6,4,4,3,5,4,4,3,4,4,4,5,4,5,5,5,5,4,4.8,5,5,5,5,5,5,4.48,4,2,2,4,3,6,5,6,6,5.75,6,6,6,5,5.75,,,,,,11,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Fall 2021,Major,BIOL1610,Pre,1,1,1,1,1,1,1,3,4,4,5,3.4,5,4,3,4,3,3.8,3,4,3,3,3,3.2,2,1,1,1,1,1.2,4,4,4,4,5,4.2,3.16,1,4,1,4,2.5,6,4,3,2,3.75,3,4,5,5,4.25,,,,,,10,5,6,4,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Fall 2021,Non-Major,BIOL1010,Pre,1,1,1,1,3,1.4,5,5,5,5,4,4.8,3,3,4,4,2,3.2,5,5,5,4,4,4.6,3,4,3,3,3,3.2,5,5,5,5,5,5,4.16,2,2,3,3,2.5,7,7,7,7,7,7,6,6,6,6.25,,,,,,11,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Fall 2021,Major,BIOL1610,Pre,2,4,4,4,4,3.6,1,1,1,1,1,1,2,2,4,3,2,2.6,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,1.92,3,2,2,3,2.5,5,5,6,5,5.25,4,5,5,4,4.5,,,,,,10,1,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Fall 2021,Major,BIOL1610,Pre,3,4,2,2,3,2.8,5,5,5,4,4,4.6,4,3,3,3,4,3.4,3,5,4,3,3,3.6,3,4,3,4,4,3.6,5,5,5,5,3,4.6,3.96,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,,,,,,10,5,6,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Fall 2021,Non-Major,BIOL1010,Pre,1,2,1,1,2,1.4,4,4,4,3,3,3.6,3,3,3,2,1,2.4,2,2,3,2,2,2.2,1,1,1,2,2,1.4,2,3,4,3,2,2.8,2.48,1,1,1,1,1,5,5,6,6,5.5,3,4,3,4,3.5,,,,,,10,12,6,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Spring 2022,Non-Major,BIOL1010,Pre,3,4,2,3,3,3,1,1,2,2,3,1.8,5,5,4,4,4,4.4,4,5,5,4,4,4.4,4,4,4,4,4,4,5,5,4,5,4,4.6,3.84,2,3,3,3,2.75,6,6,5,5,5.5,5,5,5,5,5,,,,,,10,4,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Summer 2021,Major,BIOL1610,Pre,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1.6,1.12,4,5,5,5,4.75,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,10,5,6,1,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Spring 2022,Non-Major,BIOL1010,Pre,3,4,4,2,4,3.4,3,4,4,5,3,3.8,5,4,4,4,5,4.4,4,5,5,4,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,4.56,4,2,2,5,3.25,6,7,7,7,6.75,7,7,7,7,7,,,,,,11,12,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Fall 2021,Non-Major,BIOL1010,Pre,2,2,2,3,3,2.4,4,3,3,3,2,3,4,4,3,3,3,3.4,4,3,4,4,4,3.8,2,3,2,3,3,2.6,4,4,4,4,3,3.8,3.32,2,2,2,4,2.5,6,6,6,6,6,6,5,5,5,5.25,,,,,,3,3,6,10,Yes,1,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Fall 2021,Major,BIOL1610,Pre,2,2,4,2,3,2.6,4,4,4,3,3,3.6,4,4,4,4,3,3.8,3,4,3,3,3,3.2,4,4,4,4,4,4,5,5,5,5,5,5,3.92,2,3,3,3,2.75,5,5,6,6,5.5,4,4,5,5,4.5,,,,,,1,4,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Fall 2021,Non-Major,BIOL1010,Pre,2,2,2,2,3,2.2,2,3,3,2,2,2.4,3,4,4,4,4,3.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.64,4,4,4,4,4,7,7,7,7,7,7,7,7,7,7,,,,,,10,12,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Summer 2021,Major,BIOL1610,Pre,5,5,5,5,4,4.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.2,1.04,3,5,5,5,4.5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,11,5,6,1,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Fall 2021,Major,BIOL1610,Pre,4,4,4,4,3,3.8,5,5,5,5,5,5,4,4,4,3,4,3.8,4,5,5,4,4,4.4,4,4,4,3,3,3.6,5,5,5,5,5,5,4.36,4,4,3,5,4,6,6,6,6,6,5,5,5,6,5.25,,,,,,10,1,6,9,No,0,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Spring 2022,Non-Major,BIOL1010,Pre,4,3,3,3,4,3.4,4,5,5,4,4,4.4,3,3,4,4,3,3.4,3,4,4,3,4,3.6,4,4,4,4,4,4,5,5,5,5,3,4.6,4,2,2,3,4,2.75,7,6,7,7,6.75,7,7,7,7,7,,,,,,3,3,6,10,No,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Spring 2022,Non-Major,BIOL1010,Pre,3,3,3,1,3,2.6,4,4,4,4,3,3.8,4,4,5,4,3,4,3,4,4,2,3,3.2,4,4,4,4,4,4,5,4,5,5,3,4.4,3.88,2,2,3,3,2.5,6,6,6,6,6,6,6,6,6,6,,,,,,3,3,6,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Fall 2021,Major,BIOL1610,Pre,3,4,2,4,3,3.2,4,5,4,3,4,4,4,4,3,3,4,3.6,3,5,4,4,4,4,4,5,4,4,4,4.2,5,5,4,4,4,4.4,4.04,3,2,2,4,2.75,5,5,6,5,5.25,3,5,4,4,4,,,,,,10,10,6,10,Yes,1,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Fall 2021,Major,BIOL1610,Pre,4,4,4,3,3,3.6,5,5,5,5,5,5,4,4,4,3,4,3.8,5,4,4,4,4,4.2,4,5,5,5,5,4.8,5,5,5,5,3,4.6,4.48,4,3,4,4,3.75,5,5,6,6,5.5,4,4,5,4,4.25,,,,,,11,1,1,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Fall 2021,Major,BIOL1610,Pre,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,4.8,4,5,4,5,4,4.4,4,4,4,4,5,4.2,5,5,5,5,3,4.6,4.6,4,3,3,4,3.5,5,6,6,6,5.75,5,6,6,6,5.75,,,,,,10,5,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Fall 2021,Non-Major,BIOL1010,Pre,2,1,1,1,2,1.4,1,1,1,4,1,1.6,4,4,4,4,4,4,3,4,4,2,4,3.4,4,2,4,2,4,3.2,2,1,4,1,2,2,2.84,1,4,1,5,2.75,6,6,6,7,6.25,7,5,4,5,5.25,,,,,,3,9,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Fall 2021,Major,BIOL1610,Pre,4,4,3,4,3,3.6,5,5,5,5,5,5,5,5,5,4,5,4.8,5,4,5,5,4,4.6,4,5,5,5,5,4.8,5,5,5,5,5,5,4.84,4,3,4,5,4,6,5,6,5,5.5,5,6,5,6,5.5,,,,,,1,4,1,10,No,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Spring 2022,Non-Major,BIOL1010,Pre,4,4,4,4,3,3.8,4,4,3,4,4,3.8,5,4,3,3,5,4,5,5,5,4,4,4.6,4,5,4,3,5,4.2,5,5,4,5,4,4.6,4.24,4,3,3,3,3.25,6,6,7,6,6.25,6,6,7,6,6.25,,,,,,8,7,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Fall 2021,Major,BIOL1610,Pre,3,4,3,4,3,3.4,4,5,4,4,5,4.4,4,4,3,3,3,3.4,4,4,4,4,4,4,4,5,4,4,4,4.2,4,4,4,4,2,3.6,3.92,3,2,3,3,2.75,4,5,5,4,4.5,3,5,5,5,4.5,,,,,,1,5,1,10,Yes,0,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Fall 2021,Non-Major,BIOL1010,Pre,3,4,2,1,3,2.6,3,4,4,3,4,3.6,4,4,3,3,3,3.4,3,4,4,2,2,3,3,4,3,4,4,3.6,5,5,5,5,4,4.8,3.68,2,1,2,4,2.25,7,6,7,6,6.5,6,7,7,7,6.75,,,,,,10,5,6,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Fall 2021,Non-Major,BIOL1010,Pre,3,3,3,2,3,2.8,4,4,4,3,4,3.8,3,4,4,3,4,3.6,2,2,4,2,2,2.4,4,4,4,3,4,3.8,4,4,4,4,4,4,3.52,2,3,3,3,2.75,5,6,6,3,5,7,7,5,7,6.5,,,,,,11,12,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Fall 2021,Major,BIOL1610,Pre,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,3,3.2,3,4,4,3,3,3.4,4,5,5,5,4,4.6,3,4,4,4,4,3.8,3.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,11,12,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Spring 2022,Non-Major,BIOL1010,Pre,3,4,2,3,3,3,5,5,5,4,3,4.4,4,4,4,4,4,4,4,4,4,3,3,3.6,4,4,4,2,4,3.6,5,5,4,5,4,4.6,4.04,3,2,2,2,2.25,7,6,7,7,6.75,6,6,6,6,6,,,,,,10,4,1,10,Yes,0,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
